firma;website;notiz;manual_review;tier;trust;gap;voice_fit;google_rating;google_reviews;reasons;score;ort;adresse;telefon;maps_url;query;discovered;place_id
Kather Sanitär Heizung GmbH;https://kather.ch/;;;WARM;5;2;3;4.5;23;"Trust 5: 4.5★ × 23 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";6;Im Vorland 7;Im Vorland 7, 8580 Amriswil;071 412 73 33;https://maps.google.com/?cid=8896521634443591932&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Amriswil;2026-06-17;ChIJB8vu77L8mkcR_ICWbUrLdns
musa & partner ag;https://www.musa-partner-ag.ch/;;;WARM;4;2;3;5;9;"Trust 4: 5★ × 9 Reviews; M1=2: hat Website; M2+1: Reparatur-nah; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";6;Kirchstrasse 38;Kirchstrasse 38, 8580 Amriswil;071 411 16 06;https://maps.google.com/?cid=12389861763546720748&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Amriswil;2026-06-17;ChIJQbz5kbH8mkcR7KllMKGh8as
Hutt GmbH;https://hutt.ch/;;;WARM;3;2;3;5;4;"Trust 3: 5★ × 4 Reviews; M1=2: hat Website; M2+1: Reparatur-nah; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";6;Weinfelderstrasse 74;Weinfelderstrasse 74, 8580 Amriswil;071 774 09 09;https://maps.google.com/?cid=15444096596505852180&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Amriswil;2026-06-17;ChIJ6d3ycWTjmkcRFPmMNwd0VNY
Zuliani Sanitär-Heizung GmbH;http://www.zulianigmbh.ch/;;;WARM;4;2;3;5;7;"Trust 4: 5★ × 7 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";6;Erlenstrasse 5;Erlenstrasse 5, 8586 Ennetaach;071 648 36 89;https://maps.google.com/?cid=6189354759435733693&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Amriswil;2026-06-17;ChIJ68RwhDTlmkcRvUoKcVwB5VU
Strässle Installationen AG;https://www.straessle.com/;;;COLD;5;2;2;4.6;49;"Trust 5: 4.6★ × 49 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Buchenhölzlistrasse 4b;Buchenhölzlistrasse 4b, 8580 Amriswil;071 414 07 70;https://maps.google.com/?cid=11966923167381751593&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Amriswil;2026-06-17;ChIJjdeCs2j8mkcRKYcunjcNE6Y
Egli & Roth GmbH;http://www.egli-roth.ch/;;;COLD;5;2;2;4.7;22;"Trust 5: 4.7★ × 22 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Kirchstrasse 25B;Kirchstrasse 25B, 8580 Amriswil;071 411 90 20;https://maps.google.com/?cid=9637460214403050938&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Amriswil;2026-06-17;ChIJfYSGA7L8mkcRui106AAjv4U
Gisler Albin AG;http://www.gislerag.ch/;;;COLD;4;2;2;4.2;11;"Trust 4: 4.2★ × 11 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Sommeristrasse 39;Sommeristrasse 39, 8580 Amriswil;071 411 10 85;https://maps.google.com/?cid=16725784269605100946&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Amriswil;2026-06-17;ChIJA66jurP8mkcRkt2gGy3sHeg
SEMI SHL GmbH;http://www.semi-shl.ch/;;;COLD;4;2;2;5;7;"Trust 4: 5★ × 7 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Poststrasse 1;Poststrasse 1, 8580 Amriswil;076 606 27 27;https://maps.google.com/?cid=14061015971698993737&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Amriswil;2026-06-17;ChIJo_aHNk39mkcRSWo2HofDIsM
MS Gebäudetechnik GmbH;https://ms-gebaeudetechnik.ch/;;;COLD;5;2;2;5;25;"Trust 5: 5★ × 25 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Freiestrasse 30;Freiestrasse 30, 8580 Amriswil;071 410 06 49;https://maps.google.com/?cid=14553543663569426986&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Amriswil;2026-06-17;ChIJiz3O5k3lmkcRKloxotqS-Mk
AQUASANI GmbH;https://aquasani.ch/;;;COLD;4;2;2;5;5;"Trust 4: 5★ × 5 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Wuhrstrasse 2;Wuhrstrasse 2, 8580 Amriswil;071 774 00 77;https://maps.google.com/?cid=13722711665416452837&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Amriswil;2026-06-17;ChIJyyUpF4r9mkcR5bpBvI3dcL4
Günter Gebäudetechnik GmbH;https://www.ggtechnik.ch/;;;COLD;4;2;2;4.2;5;"Trust 4: 4.2★ × 5 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Hauptstrasse 60;Hauptstrasse 60, 8588 Zihlschlacht-Sitterdorf;079 874 15 80;https://maps.google.com/?cid=14905236482122198999&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Amriswil;2026-06-17;ChIJHzjKmEXlmkcR1y8W8psJ2s4
Näf Installationen AG;http://www.naefinstallationen.ch/;;;COLD;5;2;2;4.8;24;"Trust 5: 4.8★ × 24 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Aachstrasse 5;Aachstrasse 5, 8586 Engishofen;071 411 60 17;https://maps.google.com/?cid=1241974646453311461&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Amriswil;2026-06-17;ChIJqd0aszH7mkcR5RfkVVxhPBE
Sanitär Sonderegger GmbH;http://www.din-sanitaer.ch/;;;COLD;3;2;2;5;4;"Trust 3: 5★ × 4 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Sonnenhügelstrasse 4;Sonnenhügelstrasse 4, 8589 Zihlschlacht-Sitterdorf;079 374 82 67;https://maps.google.com/?cid=10663934420987020051&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Amriswil;2026-06-17;ChIJHUFJAbLlmkcREwP-Htvn_ZM
Wittwer Heizungen AG;http://www.wittwerheizungen.ch/;;;COLD;4;2;2;5;6;"Trust 4: 5★ × 6 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Kradolfstrasse 84;Kradolfstrasse 84, 8583 Sulgen;071 642 28 64;https://maps.google.com/?cid=3457214498938426407&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Amriswil;2026-06-17;ChIJhaaqPmblmkcRJxSOCUV--i8
Wattinger Schwendener Sanitär Heizung GmbH;http://wattinger-schwendener.ch/;;;COLD;5;2;2;4.9;13;"Trust 5: 4.9★ × 13 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen); M2+1: 2 Gewerke im Namen";5;Dozwilerstrasse 2;Dozwilerstrasse 2, 8592 Uttwil;071 463 17 07;https://maps.google.com/?cid=15268490527096499323&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Amriswil;2026-06-17;ChIJKxqlh1b8mkcRe-wADD2T5NM
Buchmüller GmbH;https://buchmueller-gmbh.ch/;;;COLD;5;2;2;4.9;10;"Trust 5: 4.9★ × 10 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Fabrikstrasse 4;Fabrikstrasse 4, 9220 Bischofszell;071 422 42 59;https://maps.google.com/?cid=16481882164555540893&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Amriswil;2026-06-17;ChIJBUT0uEPkmkcRnektAIFou-Q
ST Gebäudetechnikplaner;https://stplaner.ch/;;;COLD;1;2;2;;;"Trust 1: auf Maps, 0 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Kirchstrasse 15;Kirchstrasse 15, 8580 Amriswil;071 411 33 73;https://maps.google.com/?cid=16882783953456440365&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Amriswil;2026-06-17;ChIJGWEGCgD9mkcRLaRvjY6yS-o
Deluxe Bad (Showroom);https://deluxe-bad.ch/;;;COLD;4;2;2;5;9;"Trust 4: 5★ × 9 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Weidwiesenstrasse 2;Weidwiesenstrasse 2, 8580 Amriswil;076 536 73 14;https://maps.google.com/?cid=2179923885362271766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Amriswil;2026-06-17;ChIJIc-8CNr9mkcRFlZoWDmlQB4
DBD Duschtrennwände GmbH;https://dbd-gmbh.ch/;;;COLD;4;2;2;5;5;"Trust 4: 5★ × 5 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Bielackerstrasse 20a;Bielackerstrasse 20a, 8580 Amriswil;079 932 58 31;https://maps.google.com/?cid=16373085278770100908&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Amriswil;2026-06-17;ChIJu5gi3dv7mkcRrPpEDlDiOOM
Vonarburg Keramik;https://www.vonarburg-keramik.ch/;;;COLD;5;2;2;5;10;"Trust 5: 5★ × 10 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Räuchlisberg 12;Räuchlisberg 12, 8580 Amriswil;079 282 87 87;https://maps.google.com/?cid=3272611388831159643&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Amriswil;2026-06-17;ChIJ8S3icFDjmkcRW9UtF7imai0
Bausanierung Hunsche;https://www.hunsche.ch/;;;COLD;4;2;2;5;7;"Trust 4: 5★ × 7 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Brauerstrasse 7;Brauerstrasse 7, 9320 Arbon;077 968 41 37;https://maps.google.com/?cid=1230212114300027930&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Amriswil;2026-06-17;ChIJ6dMvvCLn6CURGkQ8Z2aXEhE
Aria-Lüftungstechnik AG;http://www.aria.ch/;;;COLD;4;2;1;4.9;9;"Trust 4: 4.9★ × 9 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Fischenhölzlistrasse 14;Fischenhölzlistrasse 14, 8580 Amriswil;071 411 24 26;https://maps.google.com/?cid=67809762646945068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Amriswil;2026-06-17;ChIJn9m-8rH8mkcRLO3frp7o8AA
Holz-Pelletheizungen Holzbock;https://www.atmos-schweiz.ch/de/;;;COLD;5;2;1;4.7;15;"Trust 5: 4.7★ × 15 Reviews; M1=2: hat Website; M2+1: erweitert, nicht 24/7";4;Eichholzstrasse 17;Eichholzstrasse 17, 8580 Sommeri;076 322 29 13;https://maps.google.com/?cid=11012814600296879348&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Amriswil;2026-06-17;ChIJo2_D9wPcmkcR9FTu04dg1Zg
Sanitärinstallateur Fitze AG;http://www.ggtechnik.ch/;;;COLD;2;2;1;3;2;"Trust 2: 2 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Hauptstrasse 60;Hauptstrasse 60, 8588 Zihlschlacht-Sitterdorf;079 874 15 80;https://maps.google.com/?cid=7459176011919893066&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Amriswil;2026-06-17;ChIJNZ1hT5HkmkcRSqKZ-w9RhGc
InnoBAD SWISS AG;http://www.innobad.ch/;;;COLD;3;2;1;5;4;"Trust 3: 5★ × 4 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Mitteldorfstrasse 43;Mitteldorfstrasse 43, 9524 Zuzwil;071 525 22 03;https://maps.google.com/?cid=11862300247750446886&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Amriswil;2026-06-17;ChIJo8upM57pmkcRJo8x5jlbn6Q
Thermo Team GmbH;;;;HOT;3;5;2;5;4;"Trust 3: 5★ × 4 Reviews; M1=5: keine Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";8;Weststrasse 15;Weststrasse 15, 8570 Weinfelden;079 638 98 69;https://maps.google.com/?cid=10297722192469715798&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Weinfelden;2026-06-17;ChIJBbxRPyPxmkcRVmvQPcbb6I4
Baumann Spenglerei Sanitär AG;http://www.baumann-haustechnik.ch/;;;WARM;4;2;4;4.1;23;"Trust 4: 4.1★ × 23 Reviews; M1=2: hat Website; M2+2: Notdienst/Sanitär; M2+1: keine Öffnungszeiten (Standard angenommen); M2+1: 2 Gewerke im Namen";7;Weinfelderstrasse 13;Weinfelderstrasse 13, 8575 Bürglen;071 633 12 48;https://maps.google.com/?cid=15017882180508761473&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Weinfelden;2026-06-17;ChIJ7__jqNDvmkcRgb3kZ0Y8atA
Brühwiler Sanitär | Heizung | Solar;https://www.sanitär-heizung-solar.ch/;;;WARM;4;2;3;5;6;"Trust 4: 5★ × 6 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";6;Pestalozzistrasse 22;Pestalozzistrasse 22, 8570 Weinfelden;071 622 30 43;https://maps.google.com/?cid=14820627579953017842&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Weinfelden;2026-06-17;ChIJgduOYCzxmkcR8vN0y0Jyrc0
Witzig J. Sanitär, Heizungen, Solartechnik;http://www.witzig-solar.ch/;;;WARM;4;2;3;5;8;"Trust 4: 5★ × 8 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";6;Obere Kirchstrasse 8;Obere Kirchstrasse 8, 8572 Berg;071 636 11 77;https://maps.google.com/?cid=2124233392192729317&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Weinfelden;2026-06-17;ChIJ30VOzEbwmkcR5bCr-QPLeh0
Silvano Jud;http://www.silvanojud.ch/;;;COLD;4;2;2;5;7;"Trust 4: 5★ × 7 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Dufourstrasse 67;Dufourstrasse 67, 8570 Weinfelden;071 622 45 40;https://maps.google.com/?cid=8936319537419110129&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Weinfelden;2026-06-17;ChIJcSUxKenzmkcR8cY_y0UvBHw
top team sanitaer installations gmbh;http://www.topsan.ch/;;;COLD;4;2;2;4.4;17;"Trust 4: 4.4★ × 17 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Eierlenstrasse 3;Eierlenstrasse 3, 8570 Weinfelden;071 626 40 50;https://maps.google.com/?cid=15994004404336646938&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Weinfelden;2026-06-17;ChIJ_eYZI9_xmkcRGtuEEEQe9t0
Anderes Heizungstechnik AG;http://www.anderesheizungen.ch/;;;COLD;1;2;2;;;"Trust 1: auf Maps, 0 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Burgstrasse 82;Burgstrasse 82, 8570 Weinfelden;071 622 44 90;https://maps.google.com/?cid=38223756372887981&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Weinfelden;2026-06-17;ChIJ6Q6-l7fxmkcRrUmWzE3MhwA
Häberlin Gebäudetechnik GmbH;http://www.haeberlin-technik.ch/;;;COLD;4;2;2;5;7;"Trust 4: 5★ × 7 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Hintere Gillstrasse 1;Hintere Gillstrasse 1, 8560 Märstetten;071 657 13 30;https://maps.google.com/?cid=15778613057943785761&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Weinfelden;2026-06-17;ChIJoY8ls0LymkcRIVEUP_rk-No
Staub Heizungen AG;http://www.staub-heizungen.ch/;;;COLD;5;2;2;4.8;38;"Trust 5: 4.8★ × 38 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Gehrenstrasse 4;Gehrenstrasse 4, 8266 Steckborn;052 762 01 80;https://maps.google.com/?cid=5811786758618362644&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Weinfelden;2026-06-17;ChIJ-9chvXOLmkcRFDPEyUOdp1A
Gebäudetechnik Bründler GmbH Märwil;http://www.bruendler-maerwil.ch/;;;COLD;5;2;2;4.7;35;"Trust 5: 4.7★ × 35 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Himmenreich 13;Himmenreich 13, 9562 Märwil;078 708 27 58;https://maps.google.com/?cid=973437734861623173&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Weinfelden;2026-06-17;ChIJecfV79ftmkcRhU9jXXZYgg0
Unical AG;https://www.unicalag.ch/kontakt.html;;;COLD;2;2;2;2.6;5;"Trust 2: 5 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Mühlfangstrasse 12;Mühlfangstrasse 12, 8570 Weinfelden;071 622 30 15;https://maps.google.com/?cid=13461145490024012110&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Weinfelden;2026-06-17;ChIJ7R-q0tjxmkcRTpm7woCYz7o
Baumann Gebäudetechnik AG;http://www.baumann-gebaeudetechnik.ch/;;;COLD;2;2;2;4.5;2;"Trust 2: 2 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Weinfelderstrasse 13;Weinfelderstrasse 13, 8575 Bürglen;071 633 12 48;https://maps.google.com/?cid=12168228773627691543&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Weinfelden;2026-06-17;ChIJ5W4JqyDvmkcRFwLEfZk73qg
Elcotherm AG (Servicestelle);http://www.elco.ch/;;;COLD;2;2;2;1;1;"Trust 2: 1 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Amriswilerstrasse 106;Amriswilerstrasse 106, 8570 Weinfelden;0848 808 808;https://maps.google.com/?cid=10577030559687902924&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Weinfelden;2026-06-17;ChIJbf4yaNnxmkcRzAamKEEpyZI
Haustechnik Eugster AG;https://haustechnik-eugster.ch/;;;COLD;5;2;2;4.7;57;"Trust 5: 4.7★ × 57 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Im Pünt 1;Im Pünt 1, 9320 Arbon;071 454 60 60;https://maps.google.com/?cid=4225517948202978980&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Weinfelden;2026-06-17;ChIJeycs9Qsdm0cRpA6tpi8OpDo
Haustec GmbH;http://www.haus-tec.ch/;;;COLD;5;2;2;5;10;"Trust 5: 5★ × 10 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Grienstrasse 17;Grienstrasse 17, 4227 Büsserach;061 530 00 01;https://maps.google.com/?cid=2838608440792698832&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Weinfelden;2026-06-17;ChIJMVWhdq7FkUcR0M_fWVbDZCc
Eisenbart + Partner AG;https://www.eisenbart-partner.ch/;;;COLD;5;2;2;4.6;11;"Trust 5: 4.6★ × 11 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Bahnhofstrasse 34a;Bahnhofstrasse 34a, 8360 Eschlikon;071 966 47 26;https://maps.google.com/?cid=5522265889290243005&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Weinfelden;2026-06-17;ChIJGd1xyWnrmkcRvctmbpEHo0w
Moser René AG;http://www.moser-haustechnik-ag.ch/;;;COLD;4;2;1;4.4;7;"Trust 4: 4.4★ × 7 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Freiestrasse 26;Freiestrasse 26, 8570 Weinfelden;071 622 49 35;https://maps.google.com/?cid=17406390205667768660&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Weinfelden;2026-06-17;ChIJMyF-1uDxmkcRVHmqRqvrj_E
BS-Gebäudetechnik GmbH;https://bs-gebaeudetechnik.ch/;;;COLD;1;2;1;;;"Trust 1: auf Maps, 0 Reviews; M1=2: hat Website; M2+1: erweitert, nicht 24/7";4;Schulstrasse 8a;Schulstrasse 8a, 8570 Weinfelden;076 373 44 99;https://maps.google.com/?cid=1309009673405965530&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Weinfelden;2026-06-17;ChIJM0L6hozxmkcR2qTpzlyJKhI
suissetec Thurgau;https://www.suissetec-thurgau.ch/kontakt/impressum;;;COLD;1;2;1;;;"Trust 1: auf Maps, 0 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Thomas-Bornhauser-Strasse 14;Thomas-Bornhauser-Strasse 14, 8570 Weinfelden;071 626 05 25;https://maps.google.com/?cid=1500533465223151312&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Weinfelden;2026-06-17;ChIJVVWJKeTxmkcR0D42iDz30hQ
Fels Küchen und Bäder AG;https://felsag.ch/;;;COLD;5;2;1;4.6;24;"Trust 5: 4.6★ × 24 Reviews; M1=2: hat Website; M2+1: erweitert, nicht 24/7";4;Weststrasse 14;Weststrasse 14, 8570 Weinfelden;071 622 75 22;https://maps.google.com/?cid=490775521508415770&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Weinfelden;2026-06-17;ChIJc-vZsvnxmkcRGln3j7yVzwY
Gebr. Brüllhardt AG;http://www.bruellhardt.ch/;;;WARM;4;2;4;4.6;7;"Trust 4: 4.6★ × 7 Reviews; M1=2: hat Website; M2+2: Notdienst/Sanitär; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";7;Romanshornerstrasse 92;Romanshornerstrasse 92, 9300 Wittenbach;071 298 55 47;https://maps.google.com/?cid=561448304578266854&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Arbon;2026-06-17;ChIJK5C_5OAdm0cR5gYiIkKqygc
Wüst Kanalreinigung, Sanitär, 24H Notfallservice;https://www.wuest.sg/;;;WARM;3;2;4;5;3;"Trust 3: 5★ × 3 Reviews; M1=2: hat Website; M2+2: Notdienst/Sanitär; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";7;Feuerwehrstrasse 21;Feuerwehrstrasse 21, 9400 Rorschach;071 888 20 22;https://maps.google.com/?cid=12651664718223806474&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Arbon;2026-06-17;ChIJW1BssIXGtkwRCpASowe-k68
